Season,Match,Team,Opponent,Team Rating,Rating Change,Goals,Goals Allowed,Shots,Assists,Saves,xG,Covr Rate,Save Percent,Yellow Cards,Red Cards,Time
3,100,FTS,TOE,14.58,-85.42,2,5,12,1,10,1.95,0.17,0.67,0,0,Final
3,100,TOE,FTS,18.28,3.29,5,2,15,5,10,4.88,0.33,0.83,0,0,Final
3,101,BXB,HVB,48.05,0.0,11,1,24,6,6,10.68,0.46,0.86,1,0,Final
3,101,HVB,BXB,14.59,-0.04,1,11,7,1,13,0.97,0.14,0.54,1,0,Final
3,102,MCH,HBD,97.16,0.16,11,4,31,7,5,6.13,0.35,0.56,0,0,Final
3,102,HBD,MCH,42.1,-1.91,4,11,9,3,20,1.91,0.44,0.65,0,0,Final
3,103,NPC,FTS,83.59,-5.1,8,2,23,8,13,8.63,0.35,0.87,2,0,Final
3,103,FTS,NPC,17.21,2.72,2,8,15,1,15,0.84,0.13,0.65,0,0,Final
3,104,NFA,TOE,15.52,2.38,4,3,16,2,9,2.59,0.25,0.75,1,0,Final
3,104,TOE,NFA,17.52,-1.02,3,4,12,1,12,4.08,0.25,0.75,0,0,Final
3,105,MCH,HFC,94.2,1.01,12,2,21,5,3,8.48,0.57,0.6,2,0,Final
3,105,HFC,MCH,22.76,-1.71,2,12,5,1,9,1.27,0.4,0.43,0,0,Final
3,106,NPC,HVB,70.05,-11.15,10,4,16,6,6,10.68,0.62,0.6,0,0,Final
3,106,HVB,NPC,17.1,2.51,4,10,10,4,6,1.3,0.4,0.38,0,0,Final
3,107,HBD,HFC,38.57,2.55,6,0,26,5,7,5.48,0.23,1.0,0,0,Final
3,107,HFC,HBD,17.08,-5.37,0,6,7,0,20,1.29,0.0,0.77,0,0,Final
3,108,MCH,ASB,96.91,2.16,11,2,24,9,3,5.72,0.46,0.6,0,0,Final
3,108,ASB,MCH,54.39,-14.7,2,11,5,1,13,2.4,0.4,0.54,0,0,Final
3,109,HVB,FTS,16.4,-1.29,1,3,15,0,10,2.56,0.07,0.77,0,0,Final
3,109,FTS,HVB,18.63,0.22,3,1,13,3,14,3.81,0.23,0.93,0,0,Final
3,110,VSH,BNC,96.9,-3.1,0,2,8,0,7,2.87,0.0,0.78,0,0,Final
3,110,BNC,VSH,69.29,11.81,2,0,9,1,8,1.58,0.22,1.0,1,0,Final
3,111,BXB,TOE,83.5,3.43,10,1,21,8,5,9.35,0.48,0.83,1,0,Final
3,111,TOE,BXB,17.58,-0.04,1,10,6,1,11,0.98,0.17,0.52,0,0,Final
3,112,HBD,VSH,45.37,5.73,7,1,15,5,11,3.94,0.47,0.92,0,0,Final
3,112,VSH,HBD,37.88,-59.04,1,7,12,0,8,3.21,0.08,0.53,0,0,Final
3,113,BNC,ASB,71.62,7.77,4,0,11,3,5,3.66,0.36,1.0,0,0,Final
3,113,ASB,BNC,51.28,-5.04,0,4,5,0,7,2.51,0.0,0.64,0,0,Final
3,114,NFA,HVB,15.58,0.0,0,5,0,0,0,3.13,0.0,0.0,0,0,Forfeit
3,114,HVB,NFA,16.74,0.0,5,0,0,0,0,4.17,0.0,0.0,0,0,Forfeit
3,115,NPC,BXB,80.38,0.56,1,2,6,1,13,1.58,0.17,0.87,0,0,Final
3,115,BXB,NPC,98.15,13.41,2,1,15,2,5,2.54,0.13,0.83,2,0,Final
3,116,VSH,ASB,45.62,7.58,7,5,22,5,7,4.29,0.32,0.58,0,0,Final
3,116,ASB,VSH,47.89,-3.14,5,7,12,4,15,4.52,0.42,0.68,0,0,Final
3,117,BXB,FTS,99.29,1.34,4,0,15,2,7,5.23,0.27,1.0,0,0,Final
3,117,FTS,BXB,19.87,0.71,0,4,7,0,11,0.45,0.0,0.73,0,0,Final
3,118,HFC,BNC,16.97,1.85,2,3,9,0,5,0.73,0.22,0.62,1,0,Final
3,118,BNC,HFC,62.06,-9.12,3,2,8,1,7,5.34,0.38,0.78,0,0,Final
3,119,NFA,NPC,15.46,0.0,0,5,0,0,0,0.81,0.0,0.0,0,0,Forfeit
3,119,NPC,NFA,77.6,0.0,5,0,0,0,0,11.32,0.0,0.0,0,0,Forfeit
3,120,HVB,TOE,16.95,0.09,5,7,16,2,18,4.37,0.31,0.72,0,0,Final
3,120,TOE,HVB,17.95,0.64,7,5,25,2,11,5.23,0.28,0.69,0,0,Final
3,121,HBD,ASB,52.26,6.97,10,1,18,4,11,5.11,0.56,0.92,0,0,Final
3,121,ASB,HBD,39.57,-8.18,1,10,12,1,8,3.75,0.08,0.44,0,0,Final
3,122,VSH,MCH,53.57,8.18,4,5,13,2,7,2.53,0.31,0.58,0,0,Final
3,122,MCH,VSH,95.57,-1.42,5,4,12,4,9,5.81,0.42,0.69,0,0,Final
3,123,NFA,BXB,15.67,0.0,0,5,0,0,0,0.38,0.0,0.0,0,0,Forfeit
3,123,BXB,NFA,99.04,0.0,5,0,0,0,0,9.1,0.0,0.0,0,0,Forfeit
3,124,TOE,BNC,17.89,0.02,1,7,5,1,12,1.23,0.2,0.63,0,0,Playoff/FT
3,124,BNC,TOE,60.92,-0.49,7,1,19,5,4,7.47,0.37,0.8,0,0,Playoff/FT
3,125,NPC,HBD,78.84,0.22,1,1,25,1,11,3.67,0.04,0.92,0,0,Playoff/OT
3,125,HBD,NPC,54.89,2.14,1,1,12,1,24,2.4,0.08,0.96,0,0,Playoff/OT
3,126,BXB,BNC,81.47,-17.26,1,3,4,1,8,2.08,0.25,0.73,0,0,Playoff/FT
3,126,BNC,BXB,65.74,5.35,3,1,11,3,3,1.58,0.27,0.75,0,0,Playoff/FT
3,127,MCH,HBD,97.83,1.99,8,0,20,6,3,5.75,0.4,1.0,0,0,Playoff/FT
3,127,HBD,MCH,51.49,-4.22,0,8,3,0,12,2.16,0.0,0.6,1,0,Playoff/FT
3,128,MCH,BNC,98.53,0.7,3,0,10,1,12,3.56,0.3,1.0,1,0,Playoff/FT
3,128,BNC,MCH,64.84,-0.93,0,3,12,0,7,1.64,0.0,0.7,1,0,Playoff/FT
4,129,TOE,NPC,17.04,-0.47,1,17,8,1,17,1.1,0.12,0.5,0,0,Final
4,129,NPC,TOE,81.59,4.33,17,1,34,15,7,11.18,0.5,0.88,0,0,Final
4,130,MCH,SWF,99.32,0.51,4,0,11,2,6,5.22,0.36,1.0,0,0,Final
4,130,SWF,MCH,53.19,0.24,0,4,6,0,7,1.78,0.0,0.64,0,0,Final
4,131,BBL,DTF,80.83,-1.23,7,3,17,5,8,6.73,0.41,0.73,0,0,Final
4,131,DTF,BBL,38.74,0.0,3,7,11,1,10,2.88,0.27,0.59,0,0,Final
4,132,BNC,RIP,62.52,-0.86,3,2,11,2,3,2.89,0.27,0.6,0,0,Final
4,132,RIP,BNC,43.16,0.0,2,3,5,1,8,1.93,0.4,0.73,0,0,Final
4,133,NPC,ASB,78.99,-0.82,3,2,9,2,5,4.75,0.33,0.71,0,0,Final
4,133,ASB,NPC,42.58,1.68,2,3,7,1,6,2.35,0.29,0.67,0,0,Final
4,134,TOE,IFC,20.52,3.76,2,0,9,0,10,1.95,0.22,1.0,2,0,Final
